file,segment,vertex,time,ele,hr,lat,lon
2011-04-02_ron daws 25k_running.gpx,0,0,2011-04-02T13:17:10+00:00,287.6000061035156,*hr*,44.92057568393648,-93.42842085286975
2011-04-02_ron daws 25k_running.gpx,0,1,2011-04-02T13:17:15+00:00,287.0,*hr*,44.92056814022362,-93.42861045151949
2011-04-02_ron daws 25k_running.gpx,0,2,2011-04-02T13:17:21+00:00,288.0,*hr*,44.920573588460684,-93.4288673568517
2011-04-02_ron daws 25k_running.gpx,0,3,2011-04-02T13:17:27+00:00,289.3999938964844,*hr*,44.920580964535475,-93.42912669293582
2011-04-02_ron daws 25k_running.gpx,0,4,2011-04-02T13:17:33+00:00,289.3999938964844,*hr*,44.9205812998116,-93.42939323745668
2011-04-02_ron daws 25k_running.gpx,0,5,2011-04-02T13:17:39+00:00,290.0,*hr*,44.92057677358389,-93.42965768650174
2011-04-02_ron daws 25k_running.gpx,0,6,2011-04-02T13:17:46+00:00,290.3999938964844,*hr*,44.92056545801461,-93.42997066676617
2011-04-02_ron daws 25k_running.gpx,0,7,2011-04-02T13:17:53+00:00,291.0,*hr*,44.92056109942496,-93.43025925569236
2011-04-02_ron daws 25k_running.gpx,0,8,2011-04-02T13:17:59+00:00,291.3999938964844,*hr*,44.92055238224566,-93.43052663840353
2011-04-02_ron daws 25k_running.gpx,0,9,2011-04-02T13:18:05+00:00,291.79998779296875,*hr*,44.92055146023631,-93.43079536221921
2011-04-02_ron daws 25k_running.gpx,0,10,2011-04-02T13:18:12+00:00,291.79998779296875,*hr*,44.92055816575885,-93.43110247515142
2011-04-02_ron daws 25k_running.gpx,0,11,2011-04-02T13:18:20+00:00,292.3999938964844,*hr*,44.920565877109766,-93.43144663609564
2011-04-02_ron daws 25k_running.gpx,0,12,2011-04-02T13:18:25+00:00,294.3999938964844,*hr*,44.92056453600526,-93.43167345039546
2011-04-02_ron daws 25k_running.gpx,0,13,2011-04-02T13:18:32+00:00,296.20001220703125,*hr*,44.92055933922529,-93.43198467046022
2011-04-02_ron daws 25k_running.gpx,0,14,2011-04-02T13:18:38+00:00,297.6000061035156,*hr*,44.92055766284466,-93.43223336152732
2011-04-02_ron daws 25k_running.gpx,0,15,2011-04-02T13:18:45+00:00,297.6000061035156,*hr*,44.92055573500693,-93.43251759186387
2011-04-02_ron daws 25k_running.gpx,0,16,2011-04-02T13:18:51+00:00,299.20001220703125,*hr*,44.920562356710434,-93.43274767510593
