file,segment,vertex,time,ele,hr,lat,lon
2011-07-23_oulu rock run_running.gpx,0,0,2011-07-23T13:59:48+00:00,313.6000061035156,*hr*,46.62174018099904,-91.44816814921796
2011-07-23_oulu rock run_running.gpx,0,1,2011-07-23T13:59:52+00:00,312.0,*hr*,46.62173775024712,-91.4479121658951
2011-07-23_oulu rock run_running.gpx,0,2,2011-07-23T13:59:53+00:00,312.0,*hr*,46.621735068038106,-91.44782977178693
2011-07-23_oulu rock run_running.gpx,0,3,2011-07-23T14:00:00+00:00,311.20001220703125,*hr*,46.62171537056565,-91.4472995325923
2011-07-23_oulu rock run_running.gpx,0,4,2011-07-23T14:00:06+00:00,310.6000061035156,*hr*,46.62170204333961,-91.44689225591719
2011-07-23_oulu rock run_running.gpx,0,5,2011-07-23T14:00:13+00:00,310.20001220703125,*hr*,46.621699864044785,-91.44644533284009
2011-07-23_oulu rock run_running.gpx,0,6,2011-07-23T14:00:17+00:00,309.6000061035156,*hr*,46.62169584073126,-91.44619764760137
2011-07-23_oulu rock run_running.gpx,0,7,2011-07-23T14:00:21+00:00,308.79998779296875,*hr*,46.621615374460816,-91.44613478332758
2011-07-23_oulu rock run_running.gpx,0,8,2011-07-23T14:00:23+00:00,309.20001220703125,*hr*,46.62153557874262,-91.44616378471255
2011-07-23_oulu rock run_running.gpx,0,9,2011-07-23T14:00:30+00:00,310.20001220703125,*hr*,46.62128487601876,-91.44630233757198
2011-07-23_oulu rock run_running.gpx,0,10,2011-07-23T14:00:35+00:00,309.6000061035156,*hr*,46.62128236144781,-91.44660475663841
2011-07-23_oulu rock run_running.gpx,0,11,2011-07-23T14:00:36+00:00,309.6000061035156,*hr*,46.621284037828445,-91.44667323678732
2011-07-23_oulu rock run_running.gpx,0,12,2011-07-23T14:00:38+00:00,309.6000061035156,*hr*,46.62128227762878,-91.44679695367813
2011-07-23_oulu rock run_running.gpx,0,13,2011-07-23T14:00:42+00:00,308.79998779296875,*hr*,46.62130918353796,-91.44702175632119
2011-07-23_oulu rock run_running.gpx,0,14,2011-07-23T14:00:48+00:00,308.20001220703125,*hr*,46.62139845080674,-91.44735208712518
2011-07-23_oulu rock run_running.gpx,0,15,2011-07-23T14:00:56+00:00,308.79998779296875,*hr*,46.62152795121074,-91.44780789501965
2011-07-23_oulu rock run_running.gpx,0,16,2011-07-23T14:00:58+00:00,308.79998779296875,*hr*,46.621544463559985,-91.44791694357991
2011-07-23_oulu rock run_running.gpx,0,17,2011-07-23T14:01:02+00:00,309.6000061035156,*hr*,46.62148369476199,-91.4481003396213
2011-07-23_oulu rock run_running.gpx,0,18,2011-07-23T14:01:03+00:00,310.20001220703125,*hr*,46.62144245579839,-91.44812196493149
2011-07-23_oulu rock run_running.gpx,0,19,2011-07-23T14:01:10+00:00,311.6000061035156,*hr*,46.621168199926615,-91.44822715781629
2011-07-23_oulu rock run_running.gpx,0,20,2011-07-23T14:01:17+00:00,312.6000061035156,*hr*,46.6208959557116,-91.44821458496153
2011-07-23_oulu rock run_running.gpx,0,21,2011-07-23T14:01:24+00:00,313.6000061035156,*hr*,46.620629243552685,-91.44816898740828
2011-07-23_oulu rock run_running.gpx,0,22,2011-07-23T14:01:26+00:00,314.0,*hr*,46.62055958993733,-91.44815775565803
2011-07-23_oulu rock run_running.gpx,0,23,2011-07-23T14:01:30+00:00,314.3999938964844,*hr*,46.620455738157034,-91.44803755916655
2011-07-23_oulu rock run_running.gpx,0,24,2011-07-23T14:01:37+00:00,313.6000061035156,*hr*,46.62026949226856,-91.44776196219027
2011-07-23_oulu rock run_running.gpx,0,25,2011-07-23T14:01:43+00:00,313.6000061035156,*hr*,46.620165975764394,-91.44747379235923
2011-07-23_oulu rock run_running.gpx,0,26,2011-07-23T14:01:49+00:00,313.0,*hr*,46.62014275789261,-91.44713499583304
2011-07-23_oulu rock run_running.gpx,0,27,2011-07-23T14:01:56+00:00,312.0,*hr*,46.62012029439211,-91.44675336778164
2011-07-23_oulu rock run_running.gpx,0,28,2011-07-23T14:02:00+00:00,310.6000061035156,*hr*,46.62006757222116,-91.44660978578031
2011-07-23_oulu rock run_running.gpx,0,29,2011-07-23T14:02:04+00:00,310.6000061035156,*hr*,46.61997243762016,-91.44649176858366
2011-07-23_oulu rock run_running.gpx,0,30,2011-07-23T14:02:05+00:00,310.6000061035156,*hr*,46.61994494497776,-91.44647316075861
2011-07-23_oulu rock run_running.gpx,0,31,2011-07-23T14:02:10+00:00,308.20001220703125,*hr*,46.61975886672735,-91.44647106528282
2011-07-23_oulu rock run_running.gpx,0,32,2011-07-23T14:02:14+00:00,309.20001220703125,*hr*,46.61960304714739,-91.44648388959467
2011-07-23_oulu rock run_running.gpx,0,33,2011-07-23T14:02:18+00:00,309.6000061035156,*hr*,46.6194505803287,-91.44651825539768
2011-07-23_oulu rock run_running.gpx,0,34,2011-07-23T14:02:21+00:00,310.20001220703125,*hr*,46.61937036551535,-91.44639495760202
2011-07-23_oulu rock run_running.gpx,0,35,2011-07-23T14:02:25+00:00,309.20001220703125,*hr*,46.619372963905334,-91.44617518410087
2011-07-23_oulu rock run_running.gpx,0,36,2011-07-23T14:02:26+00:00,309.20001220703125,*hr*,46.61938335746527,-91.4461234677583
