file,segment,vertex,time,ele,hr,lat,lon
2011-07-25_e river parkway_running.gpx,0,0,2011-07-25T17:51:39+00:00,180.8000030517578,*hr*,44.96581465937197,-93.20617536082864
2011-07-25_e river parkway_running.gpx,0,1,2011-07-25T17:51:44+00:00,175.0,*hr*,44.96573679149151,-93.20641843602061
2011-07-25_e river parkway_running.gpx,0,2,2011-07-25T17:51:45+00:00,173.60000610351562,*hr*,44.96572715230286,-93.20646445266902
2011-07-25_e river parkway_running.gpx,0,3,2011-07-25T17:51:51+00:00,175.60000610351562,*hr*,44.96569136157632,-93.20677039213479
2011-07-25_e river parkway_running.gpx,0,4,2011-07-25T17:51:56+00:00,185.1999969482422,*hr*,44.96566697023809,-93.20702578872442
2011-07-25_e river parkway_running.gpx,0,5,2011-07-25T17:51:57+00:00,187.1999969482422,*hr*,44.96566546149552,-93.20706593804061
2011-07-25_e river parkway_running.gpx,0,6,2011-07-25T17:52:04+00:00,196.1999969482422,*hr*,44.96566026471555,-93.2073616515845
2011-07-25_e river parkway_running.gpx,0,7,2011-07-25T17:52:10+00:00,203.39999389648438,*hr*,44.96570225805044,-93.20761193521321
2011-07-25_e river parkway_running.gpx,0,8,2011-07-25T17:52:14+00:00,207.39999389648438,*hr*,44.965717094019055,-93.20775073952973
2011-07-25_e river parkway_running.gpx,0,9,2011-07-25T17:52:20+00:00,200.60000610351562,*hr*,44.96568256057799,-93.20800647139549
2011-07-25_e river parkway_running.gpx,0,10,2011-07-25T17:52:25+00:00,197.1999969482422,*hr*,44.965703934431076,-93.20818944834173
2011-07-25_e river parkway_running.gpx,0,11,2011-07-25T17:52:27+00:00,193.39999389648438,*hr*,44.96570167131722,-93.20828198455274
2011-07-25_e river parkway_running.gpx,0,12,2011-07-25T17:52:32+00:00,185.1999969482422,*hr*,44.965703347697854,-93.20845926180482
2011-07-25_e river parkway_running.gpx,0,13,2011-07-25T17:52:39+00:00,173.60000610351562,*hr*,44.9657269846648,-93.20870786905289
2011-07-25_e river parkway_running.gpx,0,14,2011-07-25T17:52:44+00:00,167.39999389648438,*hr*,44.96571198105812,-93.20894725620747
2011-07-25_e river parkway_running.gpx,0,15,2011-07-25T17:52:48+00:00,164.60000610351562,*hr*,44.96572757139802,-93.20908698253334
2011-07-25_e river parkway_running.gpx,0,16,2011-07-25T17:52:53+00:00,159.1999969482422,*hr*,44.9657267332077,-93.2092583924532
2011-07-25_e river parkway_running.gpx,0,17,2011-07-25T17:52:59+00:00,156.8000030517578,*hr*,44.965701084584,-93.20948034524918
2011-07-25_e river parkway_running.gpx,0,18,2011-07-25T17:53:04+00:00,161.60000610351562,*hr*,44.96563486754894,-93.20968578569591
2011-07-25_e river parkway_running.gpx,0,19,2011-07-25T17:53:06+00:00,164.0,*hr*,44.965592455118895,-93.2097623962909
2011-07-25_e river parkway_running.gpx,0,20,2011-07-25T17:53:13+00:00,166.39999389648438,*hr*,44.96540369465947,-93.20987069047987
2011-07-25_e river parkway_running.gpx,0,21,2011-07-25T17:53:19+00:00,170.1999969482422,*hr*,44.96524326503277,-93.20986926555634
2011-07-25_e river parkway_running.gpx,0,22,2011-07-25T17:53:24+00:00,174.60000610351562,*hr*,44.96510219760239,-93.20987639017403
2011-07-25_e river parkway_running.gpx,0,23,2011-07-25T17:53:29+00:00,177.60000610351562,*hr*,44.964974876493216,-93.20993347093463
2011-07-25_e river parkway_running.gpx,0,24,2011-07-25T17:53:36+00:00,179.0,*hr*,44.96481905691326,-93.21011527441442
2011-07-25_e river parkway_running.gpx,0,25,2011-07-25T17:53:41+00:00,186.1999969482422,*hr*,44.96476826258004,-93.2102904561907
2011-07-25_e river parkway_running.gpx,0,26,2011-07-25T17:53:46+00:00,192.8000030517578,*hr*,44.96475518681109,-93.21049296297133
