file,segment,vertex,time,ele,hr,lat,lon
2011-12-16_running (1).gpx,0,0,2011-12-16T17:21:23+00:00,261.20001220703125,*hr*,44.966594176366925,-93.20654408074915
2011-12-16_running (1).gpx,0,1,2011-12-16T17:21:37+00:00,278.0,*hr*,44.96652418747544,-93.20676955394447
2011-12-16_running (1).gpx,0,2,2011-12-16T17:21:57+00:00,323.20001220703125,*hr*,44.96645595878363,-93.2071890681982
2011-12-16_running (1).gpx,0,3,2011-12-16T17:22:12+00:00,335.6000061035156,*hr*,44.96644405648112,-93.20752107538283
2011-12-16_running (1).gpx,0,4,2011-12-16T17:22:19+00:00,331.3999938964844,*hr*,44.96645176783204,-93.20764579810202
2011-12-16_running (1).gpx,0,5,2011-12-16T17:22:24+00:00,332.79998779296875,*hr*,44.96650205925107,-93.20768586359918
2011-12-16_running (1).gpx,0,6,2011-12-16T17:22:31+00:00,335.6000061035156,*hr*,44.9665919970721,-93.20768628269434
2011-12-16_running (1).gpx,0,7,2011-12-16T17:22:36+00:00,334.6000061035156,*hr*,44.96661747805774,-93.20776046253741
2011-12-16_running (1).gpx,0,8,2011-12-16T17:22:51+00:00,314.0,*hr*,44.96677405200899,-93.20777169428766
2011-12-16_running (1).gpx,0,9,2011-12-16T17:23:11+00:00,299.6000061035156,*hr*,44.96698678471148,-93.20771176367998
2011-12-16_running (1).gpx,0,10,2011-12-16T17:23:27+00:00,296.20001220703125,*hr*,44.967232290655375,-93.20771126076579
2011-12-16_running (1).gpx,0,11,2011-12-16T17:23:41+00:00,295.20001220703125,*hr*,44.967454662546515,-93.20771595463157
2011-12-16_running (1).gpx,0,12,2011-12-16T17:23:53+00:00,291.0,*hr*,44.96767954900861,-93.20771209895611
2011-12-16_running (1).gpx,0,13,2011-12-16T17:23:54+00:00,291.0,*hr*,44.967693043872714,-93.20770329795778
2011-12-16_running (1).gpx,0,14,2011-12-16T17:23:58+00:00,291.79998779296875,*hr*,44.967741994187236,-93.20766868069768
2011-12-16_running (1).gpx,0,15,2011-12-16T17:24:03+00:00,292.3999938964844,*hr*,44.967764457687736,-93.20776138454676
2011-12-16_running (1).gpx,0,16,2011-12-16T17:24:10+00:00,295.79998779296875,*hr*,44.96783637441695,-93.20790186524391
2011-12-16_running (1).gpx,0,17,2011-12-16T17:24:12+00:00,293.79998779296875,*hr*,44.96786034666002,-93.20789784193039
2011-12-16_running (1).gpx,0,18,2011-12-16T17:24:17+00:00,290.0,*hr*,44.967904184013605,-93.20793949998915
2011-12-16_running (1).gpx,0,19,2011-12-16T17:24:23+00:00,280.79998779296875,*hr*,44.96790745295584,-93.20799398235977
2011-12-16_running (1).gpx,0,20,2011-12-16T17:24:29+00:00,288.0,*hr*,44.96802069246769,-93.2081111613661
2011-12-16_running (1).gpx,0,21,2011-12-16T17:24:42+00:00,291.0,*hr*,44.96806285344064,-93.20837619714439
2011-12-16_running (1).gpx,0,22,2011-12-16T17:24:44+00:00,290.0,*hr*,44.968065954744816,-93.2084116525948
2011-12-16_running (1).gpx,0,23,2011-12-16T17:24:55+00:00,292.79998779296875,*hr*,44.96813326142728,-93.20865984074771
2011-12-16_running (1).gpx,0,24,2011-12-16T17:24:56+00:00,293.79998779296875,*hr*,44.96815036050975,-93.20868574082851
2011-12-16_running (1).gpx,0,25,2011-12-16T17:25:14+00:00,310.6000061035156,*hr*,44.968340462073684,-93.2090937718749
2011-12-16_running (1).gpx,0,26,2011-12-16T17:25:31+00:00,326.0,*hr*,44.96846644207835,-93.20951135829091
2011-12-16_running (1).gpx,0,27,2011-12-16T17:25:42+00:00,316.3999938964844,*hr*,44.96852754615247,-93.20965494029224
2011-12-16_running (1).gpx,0,28,2011-12-16T17:25:57+00:00,306.79998779296875,*hr*,44.96860918588936,-93.20986825972795
2011-12-16_running (1).gpx,0,29,2011-12-16T17:26:11+00:00,299.6000061035156,*hr*,44.968840358778834,-93.20975476875901
2011-12-16_running (1).gpx,0,30,2011-12-16T17:26:26+00:00,312.6000061035156,*hr*,44.96900615282357,-93.21009825915098
2011-12-16_running (1).gpx,0,31,2011-12-16T17:26:41+00:00,326.6000061035156,*hr*,44.96913976036012,-93.21047393605113
2011-12-16_running (1).gpx,0,32,2011-12-16T17:26:58+00:00,336.20001220703125,*hr*,44.96928283944726,-93.21083586663008
2011-12-16_running (1).gpx,0,33,2011-12-16T17:27:13+00:00,335.20001220703125,*hr*,44.96938928961754,-93.21110685355961
2011-12-16_running (1).gpx,0,34,2011-12-16T17:27:31+00:00,338.6000061035156,*hr*,44.96952775865793,-93.2114456500858
2011-12-16_running (1).gpx,0,35,2011-12-16T17:27:49+00:00,336.6000061035156,*hr*,44.96965424157679,-93.21179534308612
2011-12-16_running (1).gpx,0,36,2011-12-16T17:28:07+00:00,341.0,*hr*,44.96979799121618,-93.21216657757759
2011-12-16_running (1).gpx,0,37,2011-12-16T17:28:25+00:00,339.0,*hr*,44.969936376437545,-93.21248265914619
2011-12-16_running (1).gpx,0,38,2011-12-16T17:28:41+00:00,338.6000061035156,*hr*,44.97005766257644,-93.21279949508607
2011-12-16_running (1).gpx,0,39,2011-12-16T17:28:57+00:00,334.20001220703125,*hr*,44.97018833644688,-93.21308808401227
2011-12-16_running (1).gpx,0,40,2011-12-16T17:29:13+00:00,325.6000061035156,*hr*,44.970298977568746,-93.21336879394948
2011-12-16_running (1).gpx,0,41,2011-12-16T17:29:27+00:00,325.6000061035156,*hr*,44.97039696201682,-93.21366727352142
2011-12-16_running (1).gpx,0,42,2011-12-16T17:29:42+00:00,329.79998779296875,*hr*,44.97050877660513,-93.21400196291506
2011-12-16_running (1).gpx,0,43,2011-12-16T17:29:59+00:00,329.79998779296875,*hr*,44.97066333889961,-93.21429155766964
2011-12-16_running (1).gpx,0,44,2011-12-16T17:30:22+00:00,341.79998779296875,*hr*,44.97083684429526,-93.21478206664324
2011-12-16_running (1).gpx,0,45,2011-12-16T17:30:39+00:00,346.20001220703125,*hr*,44.97095829807222,-93.21514978073537
2011-12-16_running (1).gpx,0,46,2011-12-16T17:30:57+00:00,341.0,*hr*,44.97109265998006,-93.21548455394804
2011-12-16_running (1).gpx,0,47,2011-12-16T17:31:13+00:00,326.0,*hr*,44.971217634156346,-93.21573995053768
2011-12-16_running (1).gpx,0,48,2011-12-16T17:31:27+00:00,329.79998779296875,*hr*,44.97134084813297,-93.2159947603941
2011-12-16_running (1).gpx,0,49,2011-12-16T17:31:47+00:00,336.20001220703125,*hr*,44.97148476541042,-93.21640404872596
2011-12-16_running (1).gpx,0,50,2011-12-16T17:32:01+00:00,332.79998779296875,*hr*,44.97163035906851,-93.2164934836328
2011-12-16_running (1).gpx,0,51,2011-12-16T17:32:02+00:00,331.3999938964844,*hr*,44.97163857333362,-93.21648409590125
2011-12-16_running (1).gpx,0,52,2011-12-16T17:32:06+00:00,334.6000061035156,*hr*,44.97168576344848,-93.21653966791928
2011-12-16_running (1).gpx,0,53,2011-12-16T17:32:15+00:00,329.0,*hr*,44.97172733768821,-93.21671937592328
2011-12-16_running (1).gpx,0,54,2011-12-16T17:32:17+00:00,326.6000061035156,*hr*,44.97173245064914,-93.21676103398204
2011-12-16_running (1).gpx,0,55,2011-12-16T17:32:41+00:00,327.3999938964844,*hr*,44.97161946259439,-93.2166163623333
2011-12-16_running (1).gpx,1,0,2011-12-16T17:54:53+00:00,264.0,*hr*,44.97161644510925,-93.21635543368757
2011-12-16_running (1).gpx,1,1,2011-12-16T17:54:55+00:00,263.0,*hr*,44.971518041566014,-93.21629265323281
2011-12-16_running (1).gpx,1,2,2011-12-16T17:55:03+00:00,261.6000061035156,*hr*,44.971420895308256,-93.21616633795202
2011-12-16_running (1).gpx,1,3,2011-12-16T17:55:11+00:00,265.3999938964844,*hr*,44.971310840919614,-93.21607028134167
2011-12-16_running (1).gpx,1,4,2011-12-16T17:55:15+00:00,264.0,*hr*,44.97128477320075,-93.21598277427256
2011-12-16_running (1).gpx,1,5,2011-12-16T17:55:32+00:00,241.0,*hr*,44.97116013430059,-93.21548958308995
2011-12-16_running (1).gpx,1,6,2011-12-16T17:55:51+00:00,233.1999969482422,*hr*,44.97099995613098,-93.21509756147861
2011-12-16_running (1).gpx,1,7,2011-12-16T17:56:08+00:00,246.1999969482422,*hr*,44.97089585289359,-93.21484124287963
2011-12-16_running (1).gpx,1,8,2011-12-16T17:56:18+00:00,251.60000610351562,*hr*,44.97084363363683,-93.21468089707196
2011-12-16_running (1).gpx,1,9,2011-12-16T17:56:34+00:00,264.3999938964844,*hr*,44.970735758543015,-93.21444863453507
2011-12-16_running (1).gpx,1,10,2011-12-16T17:56:49+00:00,274.6000061035156,*hr*,44.97063358314335,-93.21424528956413
2011-12-16_running (1).gpx,1,11,2011-12-16T17:57:04+00:00,269.3999938964844,*hr*,44.970557978376746,-93.21395485661924
2011-12-16_running (1).gpx,1,12,2011-12-16T17:57:19+00:00,265.0,*hr*,44.97041825205088,-93.21360725909472
2011-12-16_running (1).gpx,1,13,2011-12-16T17:57:33+00:00,265.3999938964844,*hr*,44.97031817212701,-93.21342126466334
2011-12-16_running (1).gpx,1,14,2011-12-16T17:57:47+00:00,274.20001220703125,*hr*,44.97019755654037,-93.21312085725367
2011-12-16_running (1).gpx,1,15,2011-12-16T17:58:03+00:00,272.6000061035156,*hr*,44.97007769532502,-93.21280527859926
2011-12-16_running (1).gpx,1,16,2011-12-16T17:58:15+00:00,271.79998779296875,*hr*,44.97000058181584,-93.21257838048041
2011-12-16_running (1).gpx,1,17,2011-12-16T17:58:19+00:00,270.20001220703125,*hr*,44.97003519907594,-93.21253906935453
2011-12-16_running (1).gpx,1,18,2011-12-16T17:58:26+00:00,269.79998779296875,*hr*,44.969972083345056,-93.21241216734052
2011-12-16_running (1).gpx,1,19,2011-12-16T17:58:28+00:00,269.79998779296875,*hr*,44.96995179913938,-93.21241325698793
2011-12-16_running (1).gpx,1,20,2011-12-16T17:58:42+00:00,270.20001220703125,*hr*,44.969809893518686,-93.21211167611182
