file,segment,vertex,time,ele,hr,lat,lon
2012-04-07_ron daws 25k (2012)_running.gpx,0,0,2012-04-07T13:14:06+00:00,287.0,109,44.91969348862767,-93.42731326818466
2012-04-07_ron daws 25k (2012)_running.gpx,0,1,2012-04-07T13:14:07+00:00,287.0,111,44.91967245005071,-93.42731368727982
2012-04-07_ron daws 25k (2012)_running.gpx,0,2,2012-04-07T13:14:11+00:00,286.6000061035156,118,44.919572789222,-93.42731536366045
2012-04-07_ron daws 25k (2012)_running.gpx,0,3,2012-04-07T13:14:14+00:00,285.6000061035156,123,44.91949358023703,-93.42731536366045
2012-04-07_ron daws 25k (2012)_running.gpx,0,4,2012-04-07T13:14:16+00:00,285.6000061035156,128,44.91944337263703,-93.42731854878366
2012-04-07_ron daws 25k (2012)_running.gpx,0,5,2012-04-07T13:14:20+00:00,285.20001220703125,133,44.91932837292552,-93.4273178782314
2012-04-07_ron daws 25k (2012)_running.gpx,0,6,2012-04-07T13:14:27+00:00,285.6000061035156,136,44.91912796162069,-93.42730823904276
2012-04-07_ron daws 25k (2012)_running.gpx,0,7,2012-04-07T13:14:34+00:00,285.6000061035156,140,44.91893408820033,-93.42729415744543
2012-04-07_ron daws 25k (2012)_running.gpx,0,8,2012-04-07T13:14:40+00:00,284.6000061035156,143,44.91876938380301,-93.42727655544877
2012-04-07_ron daws 25k (2012)_running.gpx,0,9,2012-04-07T13:14:47+00:00,284.20001220703125,140,44.91858456283808,-93.42727219685912
2012-04-07_ron daws 25k (2012)_running.gpx,0,10,2012-04-07T13:14:52+00:00,284.20001220703125,141,44.91843855008483,-93.42723347246647
2012-04-07_ron daws 25k (2012)_running.gpx,0,11,2012-04-07T13:14:57+00:00,284.6000061035156,143,44.91829136386514,-93.42722366563976
2012-04-07_ron daws 25k (2012)_running.gpx,0,12,2012-04-07T13:15:02+00:00,284.6000061035156,149,44.91815289482474,-93.42722215689719
2012-04-07_ron daws 25k (2012)_running.gpx,0,13,2012-04-07T13:15:09+00:00,285.6000061035156,152,44.917943347245455,-93.42719189822674
2012-04-07_ron daws 25k (2012)_running.gpx,0,14,2012-04-07T13:15:16+00:00,286.6000061035156,155,44.91774218156934,-93.42717253603041
2012-04-07_ron daws 25k (2012)_running.gpx,0,15,2012-04-07T13:15:23+00:00,287.6000061035156,158,44.91754277609289,-93.4271611366421
2012-04-07_ron daws 25k (2012)_running.gpx,0,16,2012-04-07T13:15:30+00:00,289.3999938964844,159,44.917351668700576,-93.42715225182474
2012-04-07_ron daws 25k (2012)_running.gpx,0,17,2012-04-07T13:15:36+00:00,291.0,162,44.91718905977905,-93.427142361179
2012-04-07_ron daws 25k (2012)_running.gpx,0,18,2012-04-07T13:15:42+00:00,291.79998779296875,164,44.91702334955335,-93.42712735757232
2012-04-07_ron daws 25k (2012)_running.gpx,0,19,2012-04-07T13:15:48+00:00,292.79998779296875,165,44.916862081736326,-93.42711528763175
2012-04-07_ron daws 25k (2012)_running.gpx,0,20,2012-04-07T13:15:55+00:00,293.79998779296875,165,44.91667575202882,-93.42710279859602
2012-04-07_ron daws 25k (2012)_running.gpx,0,21,2012-04-07T13:16:03+00:00,294.79998779296875,166,44.91645673289895,-93.42708544805646
2012-04-07_ron daws 25k (2012)_running.gpx,0,22,2012-04-07T13:16:10+00:00,294.79998779296875,167,44.91626185365021,-93.42705904506147
2012-04-07_ron daws 25k (2012)_running.gpx,0,23,2012-04-07T13:16:16+00:00,294.79998779296875,166,44.91609019227326,-93.42704236507416
2012-04-07_ron daws 25k (2012)_running.gpx,0,24,2012-04-07T13:16:22+00:00,295.20001220703125,165,44.91592414677143,-93.42704295180738
