file,segment,vertex,time,ele,hr,lat,lon
2012-08-11_rockford river run, 2012_running.gpx,0,0,2012-08-11T13:30:52+00:00,278.0,96,45.09156508371234,-93.73138658702374
2012-08-11_rockford river run, 2012_running.gpx,0,1,2012-08-11T13:30:53+00:00,278.0,94,45.0915723759681,-93.73138708993793
2012-08-11_rockford river run, 2012_running.gpx,0,2,2012-08-11T13:30:56+00:00,277.0,100,45.09167304262519,-93.7313103955239
2012-08-11_rockford river run, 2012_running.gpx,0,3,2012-08-11T13:30:58+00:00,277.0,105,45.091756861656904,-93.73123546130955
2012-08-11_rockford river run, 2012_running.gpx,0,4,2012-08-11T13:31:00+00:00,277.0,113,45.091838082298636,-93.73115935362875
2012-08-11_rockford river run, 2012_running.gpx,0,5,2012-08-11T13:31:01+00:00,276.6000061035156,126,45.091878063976765,-93.73112347908318
2012-08-11_rockford river run, 2012_running.gpx,0,6,2012-08-11T13:31:03+00:00,277.0,133,45.09195316582918,-93.73105206526816
2012-08-11_rockford river run, 2012_running.gpx,0,7,2012-08-11T13:31:07+00:00,278.0,141,45.0920903775841,-93.73092516325414
2012-08-11_rockford river run, 2012_running.gpx,0,8,2012-08-11T13:31:09+00:00,278.3999938964844,147,45.09215684607625,-93.730861376971
2012-08-11_rockford river run, 2012_running.gpx,0,9,2012-08-11T13:31:11+00:00,278.3999938964844,152,45.09222524240613,-93.73079708777368
2012-08-11_rockford river run, 2012_running.gpx,0,10,2012-08-11T13:31:12+00:00,278.3999938964844,157,45.09225893765688,-93.73076867312193
2012-08-11_rockford river run, 2012_running.gpx,0,11,2012-08-11T13:31:13+00:00,278.3999938964844,159,45.092290453612804,-93.73074327595532
2012-08-11_rockford river run, 2012_running.gpx,0,12,2012-08-11T13:31:18+00:00,279.0,163,45.0924545712769,-93.73058209195733
2012-08-11_rockford river run, 2012_running.gpx,0,13,2012-08-11T13:31:22+00:00,279.79998779296875,164,45.09259899146855,-93.73047019354999
2012-08-11_rockford river run, 2012_running.gpx,0,14,2012-08-11T13:31:23+00:00,280.3999938964844,165,45.092634949833155,-93.73044446110725
2012-08-11_rockford river run, 2012_running.gpx,0,15,2012-08-11T13:31:30+00:00,281.3999938964844,167,45.09289135225117,-93.73026969842613
2012-08-11_rockford river run, 2012_running.gpx,0,16,2012-08-11T13:31:36+00:00,282.20001220703125,170,45.09310835972428,-93.7301538605243
2012-08-11_rockford river run, 2012_running.gpx,0,17,2012-08-11T13:31:41+00:00,282.20001220703125,171,45.09329636581242,-93.73006836511195
2012-08-11_rockford river run, 2012_running.gpx,0,18,2012-08-11T13:31:46+00:00,283.79998779296875,172,45.093486635014415,-93.73001924715936
2012-08-11_rockford river run, 2012_running.gpx,0,19,2012-08-11T13:31:51+00:00,283.20001220703125,172,45.09368377737701,-93.72998437844217
2012-08-11_rockford river run, 2012_running.gpx,0,20,2012-08-11T13:31:57+00:00,285.20001220703125,173,45.09391243569553,-93.72996166348457
2012-08-11_rockford river run, 2012_running.gpx,0,21,2012-08-11T13:32:03+00:00,286.6000061035156,174,45.094143860042095,-93.72998253442347
2012-08-11_rockford river run, 2012_running.gpx,0,22,2012-08-11T13:32:08+00:00,289.0,175,45.094334464520216,-93.73004145920277
2012-08-11_rockford river run, 2012_running.gpx,0,23,2012-08-11T13:32:13+00:00,290.3999938964844,176,45.094524063169956,-93.73009879142046
2012-08-11_rockford river run, 2012_running.gpx,0,24,2012-08-11T13:32:20+00:00,292.3999938964844,177,45.09478817693889,-93.73017087578773
2012-08-11_rockford river run, 2012_running.gpx,0,25,2012-08-11T13:32:25+00:00,293.79998779296875,179,45.09497148916125,-93.73022167012095
2012-08-11_rockford river run, 2012_running.gpx,0,26,2012-08-11T13:32:33+00:00,295.20001220703125,179,45.09525974281132,-93.73029383830726
2012-08-11_rockford river run, 2012_running.gpx,0,27,2012-08-11T13:32:39+00:00,296.79998779296875,179,45.09547599591315,-93.7303438782692
2012-08-11_rockford river run, 2012_running.gpx,0,28,2012-08-11T13:32:45+00:00,298.20001220703125,179,45.09569216519594,-93.73039945028722
2012-08-11_rockford river run, 2012_running.gpx,0,29,2012-08-11T13:32:50+00:00,298.6000061035156,179,45.095875980332494,-93.73043959960341
2012-08-11_rockford river run, 2012_running.gpx,0,30,2012-08-11T13:32:56+00:00,299.20001220703125,179,45.096099860966206,-93.73048083856702
2012-08-11_rockford river run, 2012_running.gpx,0,31,2012-08-11T13:33:01+00:00,300.0,179,45.096283089369535,-93.73051939532161
2012-08-11_rockford river run, 2012_running.gpx,0,32,2012-08-11T13:33:06+00:00,300.0,180,45.09646757505834,-93.73055627569556
2012-08-11_rockford river run, 2012_running.gpx,0,33,2012-08-11T13:33:11+00:00,299.6000061035156,180,45.09664577431977,-93.73059776611626
2012-08-11_rockford river run, 2012_running.gpx,0,34,2012-08-11T13:33:17+00:00,300.6000061035156,179,45.096859680488706,-93.7306253425777
2012-08-11_rockford river run, 2012_running.gpx,0,35,2012-08-11T13:33:22+00:00,304.0,180,45.097027234733105,-93.73062467202544
2012-08-11_rockford river run, 2012_running.gpx,0,36,2012-08-11T13:33:30+00:00,305.3999938964844,179,45.09731808677316,-93.73058184050024
2012-08-11_rockford river run, 2012_running.gpx,0,37,2012-08-11T13:33:37+00:00,300.6000061035156,180,45.09757675230503,-93.73048477806151
2012-08-11_rockford river run, 2012_running.gpx,0,38,2012-08-11T13:33:42+00:00,299.6000061035156,180,45.09774858132005,-93.73041277751327
