file,segment,vertex,time,ele,hr,lat,lon
2012-10-13_whistle stop marathon_running.gpx,0,0,2012-10-13T14:00:07+00:00,346.6000061035156,91,46.57771926373243,-91.33452446199954
2012-10-13_whistle stop marathon_running.gpx,0,1,2012-10-13T14:00:09+00:00,346.20001220703125,99,46.57767056487501,-91.33454315364361
2012-10-13_whistle stop marathon_running.gpx,0,2,2012-10-13T14:00:11+00:00,346.6000061035156,111,46.577617758885026,-91.33456553332508
2012-10-13_whistle stop marathon_running.gpx,0,3,2012-10-13T14:00:12+00:00,346.20001220703125,110,46.577584482729435,-91.3345835544169
2012-10-13_whistle stop marathon_running.gpx,0,4,2012-10-13T14:00:13+00:00,345.79998779296875,117,46.577548356726766,-91.33460333570838
2012-10-13_whistle stop marathon_running.gpx,0,5,2012-10-13T14:00:15+00:00,345.79998779296875,122,46.577488677576184,-91.3346406351775
2012-10-13_whistle stop marathon_running.gpx,0,6,2012-10-13T14:00:16+00:00,345.20001220703125,130,46.57745716162026,-91.33466175757349
2012-10-13_whistle stop marathon_running.gpx,0,7,2012-10-13T14:00:19+00:00,346.20001220703125,136,46.57735909335315,-91.33471724577248
2012-10-13_whistle stop marathon_running.gpx,0,8,2012-10-13T14:00:20+00:00,346.6000061035156,142,46.57732338644564,-91.33473736234009
2012-10-13_whistle stop marathon_running.gpx,0,9,2012-10-13T14:00:21+00:00,346.6000061035156,142,46.57728927209973,-91.3347574789077
2012-10-13_whistle stop marathon_running.gpx,0,10,2012-10-13T14:00:26+00:00,346.20001220703125,139,46.57712599262595,-91.33484054356813
2012-10-13_whistle stop marathon_running.gpx,0,11,2012-10-13T14:00:33+00:00,345.20001220703125,143,46.57690999098122,-91.33495763875544
2012-10-13_whistle stop marathon_running.gpx,0,12,2012-10-13T14:00:38+00:00,344.79998779296875,142,46.57676724717021,-91.33506987243891
2012-10-13_whistle stop marathon_running.gpx,0,13,2012-10-13T14:00:43+00:00,344.79998779296875,145,46.576634561643004,-91.33516106754541
2012-10-13_whistle stop marathon_running.gpx,0,14,2012-10-13T14:00:47+00:00,344.79998779296875,145,46.576538756489754,-91.33522929623723
2012-10-13_whistle stop marathon_running.gpx,0,15,2012-10-13T14:00:52+00:00,345.79998779296875,149,46.57639844343066,-91.33531663566828
2012-10-13_whistle stop marathon_running.gpx,0,16,2012-10-13T14:00:57+00:00,347.6000061035156,148,46.57625125721097,-91.33540313690901
2012-10-13_whistle stop marathon_running.gpx,0,17,2012-10-13T14:00:59+00:00,348.20001220703125,155,46.57619208097458,-91.33543549105525
2012-10-13_whistle stop marathon_running.gpx,0,18,2012-10-13T14:01:01+00:00,348.20001220703125,162,46.57612326554954,-91.33546985685825
2012-10-13_whistle stop marathon_running.gpx,0,19,2012-10-13T14:01:05+00:00,346.20001220703125,167,46.57599703408778,-91.33553347550333
2012-10-13_whistle stop marathon_running.gpx,0,20,2012-10-13T14:01:10+00:00,343.79998779296875,166,46.575826881453395,-91.33558988571167
2012-10-13_whistle stop marathon_running.gpx,0,21,2012-10-13T14:01:16+00:00,343.3999938964844,163,46.57561699859798,-91.33564503863454
2012-10-13_whistle stop marathon_running.gpx,0,22,2012-10-13T14:01:22+00:00,342.79998779296875,167,46.57541625201702,-91.33569499477744
2012-10-13_whistle stop marathon_running.gpx,0,23,2012-10-13T14:01:24+00:00,343.3999938964844,173,46.57535179518163,-91.33570899255574
2012-10-13_whistle stop marathon_running.gpx,0,24,2012-10-13T14:01:26+00:00,343.3999938964844,167,46.57528465613723,-91.33572198450565
2012-10-13_whistle stop marathon_running.gpx,0,25,2012-10-13T14:01:32+00:00,343.79998779296875,165,46.57509128563106,-91.33575324900448
2012-10-13_whistle stop marathon_running.gpx,0,26,2012-10-13T14:01:37+00:00,346.20001220703125,163,46.574940579012036,-91.33577445521951
2012-10-13_whistle stop marathon_running.gpx,0,27,2012-10-13T14:01:42+00:00,345.79998779296875,165,46.574776377528906,-91.33581846021116
2012-10-13_whistle stop marathon_running.gpx,0,28,2012-10-13T14:01:47+00:00,344.20001220703125,166,46.574618462473154,-91.33585659787059
2012-10-13_whistle stop marathon_running.gpx,0,29,2012-10-13T14:01:53+00:00,344.20001220703125,165,46.57442718744278,-91.33589607663453
2012-10-13_whistle stop marathon_running.gpx,0,30,2012-10-13T14:01:58+00:00,344.20001220703125,165,46.57427287660539,-91.33593245409429
2012-10-13_whistle stop marathon_running.gpx,0,31,2012-10-13T14:02:05+00:00,345.79998779296875,166,46.57405888661742,-91.33597645908594
2012-10-13_whistle stop marathon_running.gpx,0,32,2012-10-13T14:02:13+00:00,345.79998779296875,166,46.57380575314164,-91.33601577021182
2012-10-13_whistle stop marathon_running.gpx,0,33,2012-10-13T14:02:19+00:00,345.79998779296875,166,46.57361405901611,-91.33604116737843
2012-10-13_whistle stop marathon_running.gpx,0,34,2012-10-13T14:02:25+00:00,346.20001220703125,165,46.57342588528991,-91.3360685762018
2012-10-13_whistle stop marathon_running.gpx,0,35,2012-10-13T14:02:30+00:00,346.6000061035156,168,46.57326436601579,-91.33610059507191
2012-10-13_whistle stop marathon_running.gpx,0,36,2012-10-13T14:02:38+00:00,344.20001220703125,169,46.57300226390362,-91.33615918457508
2012-10-13_whistle stop marathon_running.gpx,0,37,2012-10-13T14:02:44+00:00,342.79998779296875,166,46.572792045772076,-91.33621199056506
2012-10-13_whistle stop marathon_running.gpx,0,38,2012-10-13T14:02:49+00:00,341.79998779296875,166,46.572629353031516,-91.33627963252366
2012-10-13_whistle stop marathon_running.gpx,0,39,2012-10-13T14:02:55+00:00,342.79998779296875,165,46.572430953383446,-91.33634685538709
2012-10-13_whistle stop marathon_running.gpx,0,40,2012-10-13T14:03:00+00:00,342.3999938964844,166,46.57228988595307,-91.33641567081213
2012-10-13_whistle stop marathon_running.gpx,0,41,2012-10-13T14:03:05+00:00,343.3999938964844,163,46.57214613631368,-91.33644584566355
2012-10-13_whistle stop marathon_running.gpx,0,42,2012-10-13T14:03:11+00:00,342.79998779296875,163,46.57195469364524,-91.33651583455503
2012-10-13_whistle stop marathon_running.gpx,0,43,2012-10-13T14:03:17+00:00,342.3999938964844,167,46.57175788655877,-91.33658749982715
2012-10-13_whistle stop marathon_running.gpx,0,44,2012-10-13T14:03:23+00:00,340.0,168,46.5715544577688,-91.33664759807289
2012-10-13_whistle stop marathon_running.gpx,0,45,2012-10-13T14:03:30+00:00,341.0,168,46.571327643468976,-91.33670853450894
2012-10-13_whistle stop marathon_running.gpx,0,46,2012-10-13T14:03:37+00:00,342.3999938964844,171,46.57110108062625,-91.33675153367221
2012-10-13_whistle stop marathon_running.gpx,0,47,2012-10-13T14:03:43+00:00,342.79998779296875,167,46.57090385444462,-91.33680308237672
2012-10-13_whistle stop marathon_running.gpx,0,48,2012-10-13T14:03:50+00:00,342.79998779296875,169,46.57067737542093,-91.33689913898706
2012-10-13_whistle stop marathon_running.gpx,0,49,2012-10-13T14:03:55+00:00,343.3999938964844,169,46.570537062361836,-91.33696745149791
2012-10-13_whistle stop marathon_running.gpx,0,50,2012-10-13T14:04:02+00:00,345.79998779296875,171,46.570337153971195,-91.33705655112863
2012-10-13_whistle stop marathon_running.gpx,0,51,2012-10-13T14:04:06+00:00,347.6000061035156,177,46.57022257335484,-91.33713098242879
2012-10-13_whistle stop marathon_running.gpx,0,52,2012-10-13T14:04:09+00:00,348.6000061035156,171,46.57013556919992,-91.33718965575099
2012-10-13_whistle stop marathon_running.gpx,0,53,2012-10-13T14:04:14+00:00,351.0,169,46.56998176127672,-91.33727833628654
2012-10-13_whistle stop marathon_running.gpx,0,54,2012-10-13T14:04:19+00:00,353.3999938964844,168,46.56985226087272,-91.33736349642277
2012-10-13_whistle stop marathon_running.gpx,0,55,2012-10-13T14:04:25+00:00,351.3999938964844,169,46.56968839466572,-91.33753105066717
2012-10-13_whistle stop marathon_running.gpx,0,56,2012-10-13T14:04:29+00:00,351.0,170,46.569578843191266,-91.33764864876866
2012-10-13_whistle stop marathon_running.gpx,0,57,2012-10-13T14:04:34+00:00,350.6000061035156,170,46.5694647654891,-91.33781729266047
2012-10-13_whistle stop marathon_running.gpx,0,58,2012-10-13T14:04:39+00:00,350.0,171,46.56936753541231,-91.3379991799593
2012-10-13_whistle stop marathon_running.gpx,0,59,2012-10-13T14:04:45+00:00,351.3999938964844,176,46.56925505027175,-91.3382111582905
2012-10-13_whistle stop marathon_running.gpx,0,60,2012-10-13T14:04:49+00:00,351.3999938964844,169,46.56918045133352,-91.3383530639112
2012-10-13_whistle stop marathon_running.gpx,0,61,2012-10-13T14:04:55+00:00,352.0,169,46.5690659545362,-91.33856948465109
2012-10-13_whistle stop marathon_running.gpx,0,62,2012-10-13T14:05:01+00:00,352.0,170,46.56894684769213,-91.33879185654223
2012-10-13_whistle stop marathon_running.gpx,0,63,2012-10-13T14:05:06+00:00,352.3999938964844,172,46.56885724514723,-91.33897357620299
2012-10-13_whistle stop marathon_running.gpx,0,64,2012-10-13T14:05:12+00:00,352.3999938964844,174,46.56874157488346,-91.33918563835323
2012-10-13_whistle stop marathon_running.gpx,0,65,2012-10-13T14:05:18+00:00,353.0,174,46.568641662597656,-91.33941354230046
2012-10-13_whistle stop marathon_running.gpx,0,66,2012-10-13T14:05:24+00:00,353.0,174,46.56857536174357,-91.33967069908977
2012-10-13_whistle stop marathon_running.gpx,0,67,2012-10-13T14:05:28+00:00,354.3999938964844,177,46.568562956526875,-91.33984764106572
2012-10-13_whistle stop marathon_running.gpx,0,68,2012-10-13T14:05:33+00:00,354.79998779296875,174,46.56858013942838,-91.34006598964334
2012-10-13_whistle stop marathon_running.gpx,0,69,2012-10-13T14:05:38+00:00,356.3999938964844,175,46.568613750860095,-91.34029313921928
2012-10-13_whistle stop marathon_running.gpx,0,70,2012-10-13T14:05:43+00:00,358.79998779296875,178,46.56864719465375,-91.34051576256752
2012-10-13_whistle stop marathon_running.gpx,0,71,2012-10-13T14:05:48+00:00,362.0,177,46.56866236589849,-91.34075179696083
2012-10-13_whistle stop marathon_running.gpx,0,72,2012-10-13T14:05:53+00:00,363.6000061035156,174,46.56868675723672,-91.34096226654947
2012-10-13_whistle stop marathon_running.gpx,0,73,2012-10-13T14:05:58+00:00,364.0,173,46.568716345354915,-91.34113166481256
2012-10-13_whistle stop marathon_running.gpx,0,74,2012-10-13T14:06:03+00:00,364.0,175,46.56870184466243,-91.3413212634623
2012-10-13_whistle stop marathon_running.gpx,0,75,2012-10-13T14:06:10+00:00,366.79998779296875,178,46.56859723851085,-91.34162946604192
2012-10-13_whistle stop marathon_running.gpx,0,76,2012-10-13T14:06:13+00:00,368.3999938964844,172,46.568538565188646,-91.34176575578749
2012-10-13_whistle stop marathon_running.gpx,0,77,2012-10-13T14:06:15+00:00,369.20001220703125,169,46.56850025989115,-91.341846389696
2012-10-13_whistle stop marathon_running.gpx,0,78,2012-10-13T14:06:21+00:00,371.20001220703125,164,46.568397833034396,-91.3420538417995
