file,segment,vertex,time,ele,hr,lat,lon
2014-03-01_break the ice 5k_running.gpx,0,0,2014-03-01T15:00:12+00:00,300.0,97,44.83627796173096,-93.81848696619272
2014-03-01_break the ice 5k_running.gpx,0,1,2014-03-01T15:00:16+00:00,300.3999938964844,103,44.83640067279339,-93.81845285184681
2014-03-01_break the ice 5k_running.gpx,0,2,2014-03-01T15:00:19+00:00,300.79998779296875,109,44.83649907633662,-93.81844765506685
2014-03-01_break the ice 5k_running.gpx,0,3,2014-03-01T15:00:20+00:00,300.79998779296875,112,44.83652648515999,-93.8184414524585
2014-03-01_break the ice 5k_running.gpx,0,4,2014-03-01T15:00:23+00:00,301.79998779296875,119,44.83657266944647,-93.81836148910224
2014-03-01_break the ice 5k_running.gpx,0,5,2014-03-01T15:00:25+00:00,302.20001220703125,123,44.836596893146634,-93.81829049438238
2014-03-01_break the ice 5k_running.gpx,0,6,2014-03-01T15:00:29+00:00,302.6000061035156,128,44.83663184568286,-93.81813886575401
2014-03-01_break the ice 5k_running.gpx,0,7,2014-03-01T15:00:32+00:00,302.20001220703125,135,44.83663025312126,-93.81801816634834
2014-03-01_break the ice 5k_running.gpx,0,8,2014-03-01T15:00:37+00:00,301.79998779296875,137,44.836622877046466,-93.81779319606721
2014-03-01_break the ice 5k_running.gpx,0,9,2014-03-01T15:00:42+00:00,301.6000061035156,141,44.83662405051291,-93.81755204871297
2014-03-01_break the ice 5k_running.gpx,0,10,2014-03-01T15:00:51+00:00,300.6000061035156,144,44.83662597835064,-93.81709355860949
2014-03-01_break the ice 5k_running.gpx,0,11,2014-03-01T15:00:57+00:00,300.20001220703125,148,44.83663234859705,-93.81679826416075
2014-03-01_break the ice 5k_running.gpx,0,12,2014-03-01T15:01:03+00:00,300.20001220703125,151,44.83665179461241,-93.81651487201452
2014-03-01_break the ice 5k_running.gpx,0,13,2014-03-01T15:01:08+00:00,300.20001220703125,152,44.83667777851224,-93.81627414375544
2014-03-01_break the ice 5k_running.gpx,0,14,2014-03-01T15:01:14+00:00,300.20001220703125,154,44.836705354973674,-93.81599485874176
2014-03-01_break the ice 5k_running.gpx,0,15,2014-03-01T15:01:19+00:00,300.20001220703125,156,44.83671675436199,-93.81577089428902
2014-03-01_break the ice 5k_running.gpx,0,16,2014-03-01T15:01:27+00:00,299.6000061035156,158,44.8367334343493,-93.81536956876516
2014-03-01_break the ice 5k_running.gpx,0,17,2014-03-01T15:01:34+00:00,299.0,159,44.83672865666449,-93.81502876058221
2014-03-01_break the ice 5k_running.gpx,0,18,2014-03-01T15:01:41+00:00,299.0,159,44.836725387722254,-93.81469926796854
2014-03-01_break the ice 5k_running.gpx,0,19,2014-03-01T15:01:47+00:00,298.20001220703125,159,44.836739553138614,-93.81440866738558
2014-03-01_break the ice 5k_running.gpx,0,20,2014-03-01T15:01:54+00:00,297.3999938964844,160,44.8367593344301,-93.8140897359699
2014-03-01_break the ice 5k_running.gpx,0,21,2014-03-01T15:02:00+00:00,296.3999938964844,160,44.83676629140973,-93.81381975486875
2014-03-01_break the ice 5k_running.gpx,0,22,2014-03-01T15:02:05+00:00,296.20001220703125,160,44.83668414875865,-93.8136322516948
2014-03-01_break the ice 5k_running.gpx,0,23,2014-03-01T15:02:07+00:00,296.0,160,44.83663595281541,-93.81356947124004
2014-03-01_break the ice 5k_running.gpx,0,24,2014-03-01T15:02:12+00:00,295.79998779296875,161,44.83663477934897,-93.81338506937027
2014-03-01_break the ice 5k_running.gpx,0,25,2014-03-01T15:02:17+00:00,296.0,161,44.83676956035197,-93.81327325478196
2014-03-01_break the ice 5k_running.gpx,0,26,2014-03-01T15:02:21+00:00,296.0,161,44.836828988045454,-93.81315087899566
2014-03-01_break the ice 5k_running.gpx,0,27,2014-03-01T15:02:24+00:00,295.79998779296875,161,44.836846590042114,-93.81313017569482
2014-03-01_break the ice 5k_running.gpx,0,28,2014-03-01T15:02:29+00:00,295.3999938964844,161,44.836914483457804,-93.81304325535893
2014-03-01_break the ice 5k_running.gpx,0,29,2014-03-01T15:02:30+00:00,295.20001220703125,160,44.83691875822842,-93.81299556232989
2014-03-01_break the ice 5k_running.gpx,0,30,2014-03-01T15:02:35+00:00,294.79998779296875,159,44.83696326613426,-93.81275894120336
2014-03-01_break the ice 5k_running.gpx,0,31,2014-03-01T15:02:40+00:00,295.0,158,44.83701196499169,-93.81255685351789
2014-03-01_break the ice 5k_running.gpx,0,32,2014-03-01T15:02:45+00:00,295.0,160,44.83702219091356,-93.81230724044144
